u,x,dx,ddx
-2.82903,229.536,425.394,-2045.93
-2.86891,229.944,423.429,-2036.69
-2.91089,230.344,420.861,-2088.8
-2.94734,230.748,418.952,-2069.67
-2.99015,231.144,416.435,-2113.35
-3.02771,231.54,414.171,-2127.24
-3.06696,231.932,411.732,-2157.28
-3.10518,232.324,409.541,-2159.49
-3.14607,232.712,407.171,-2179.46
-3.18516,233.1,405.04,-2173.5
-3.22617,233.488,403.117,-2147.22
-3.26961,233.872,400.99,-2144.04
-3.31102,234.252,398.679,-2159.6
-3.35097,234.628,396.2,-2190.4
-3.38956,235.004,393.967,-2193.5
-3.4305,235.376,391.56,-2213.65
-3.4697,235.744,388.999,-2247.28
-3.50834,236.112,386.695,-2251.75
-3.54866,236.476,384.218,-2273.11
-3.58768,236.84,381.994,-2266.99
-3.62903,237.204,379.992,-2239.24
-3.67287,237.564,377.795,-2233.9
-3.71475,237.92,375.41,-2247.81
-3.75489,238.272,372.871,-2275.66
-3.79371,238.624,370.588,-2275.28
-3.83528,238.972,368.134,-2291.92
